iter	Passed	Remaining
0	17	7170
1	33	6678
2	49	6566
3	65	6470
4	80	6394
5	96	6338
6	111	6261
7	126	6208
8	141	6161
9	156	6102
10	172	6085
11	187	6074
12	203	6043
13	217	6008
14	233	5980
15	247	5938
16	260	5879
17	276	5859
18	292	5856
19	308	5858
20	323	5832
21	337	5805
22	355	5827
23	370	5804
24	385	5787
25	400	5764
26	416	5757
27	434	5766
28	457	5852
29	472	5829
30	488	5808
31	503	5787
32	519	5773
33	534	5752
34	549	5734
35	564	5712
36	579	5682
37	593	5655
38	608	5634
39	624	5616
40	639	5599
41	655	5590
42	670	5569
43	686	5551
44	700	5529
45	715	5509
46	730	5482
47	744	5458
48	760	5444
49	775	5427
50	790	5407
51	805	5387
52	819	5366
53	834	5344
54	848	5324
55	863	5301
56	878	5286
57	893	5269
58	908	5248
59	922	5229
60	937	5209
61	952	5190
62	966	5170
63	981	5154
64	996	5135
65	1010	5115
66	1025	5098
67	1040	5079
68	1055	5062
69	1070	5048
70	1085	5032
71	1101	5015
72	1115	4997
73	1130	4981
74	1146	4967
75	1162	4954
76	1179	4948
77	1200	4957
78	1224	4974
79	1246	4985
80	1268	4995
81	1288	4996
82	1315	5025
83	1335	5024
84	1356	5026
85	1378	5034
86	1405	5056
87	1426	5058
88	1447	5058
89	1471	5069
90	1500	5093
91	1611	5396
92	1638	5407
93	1677	5459
94	1695	5444
95	1713	5425
96	1730	5405
97	1749	5391
98	1766	5369
99	1784	5353
100	1803	5338
101	1821	5321
102	1841	5308
103	1860	5294
104	1879	5279
105	1896	5259
106	1915	5244
107	1933	5228
108	1957	5227
109	1992	5252
110	2015	5248
111	2033	5229
112	2051	5210
113	2069	5191
114	2086	5171
115	2105	5155
116	2122	5133
117	2141	5116
118	2159	5099
119	2176	5079
120	2193	5057
121	2210	5037
122	2229	5021
123	2250	5009
124	2266	4986
125	2283	4964
126	2299	4943
127	2314	4919
128	2331	4898
129	2347	4875
130	2363	4853
131	2379	4831
132	2396	4810
133	2411	4787
134	2427	4765
135	2442	4741
136	2458	4719
137	2474	4698
138	2491	4677
139	2507	4656
140	2526	4641
141	2548	4630
142	2563	4606
143	2578	4584
144	2596	4565
145	2611	4543
146	2626	4520
147	2642	4498
148	2658	4478
149	2678	4464
150	2695	4445
151	2714	4429
152	2735	4416
153	2756	4402
154	2776	4389
155	2801	4382
156	2825	4373
157	2848	4362
158	2869	4349
159	2889	4334
160	2907	4316
161	2934	4310
162	2948	4287
163	2963	4264
164	2978	4241
165	2993	4219
166	3008	4196
167	3023	4175
168	3039	4153
169	3053	4131
170	3068	4109
171	3082	4085
172	3097	4064
173	3112	4043
174	3127	4021
175	3142	3999
176	3157	3977
177	3170	3954
178	3184	3932
179	3199	3910
180	3213	3888
181	3228	3866
182	3243	3846
183	3259	3826
184	3274	3805
185	3289	3784
186	3305	3764
187	3320	3744
188	3336	3724
189	3353	3706
190	3370	3688
191	3388	3671
192	3408	3655
193	3427	3639
194	3445	3622
195	3464	3605
196	3484	3590
197	3503	3574
198	3525	3560
199	3541	3541
200	3556	3521
201	3572	3501
202	3587	3481
203	3603	3462
204	3618	3442
205	3633	3422
206	3648	3401
207	3663	3381
208	3678	3361
209	3692	3341
210	3707	3321
211	3722	3301
212	3737	3281
213	3754	3263
214	3769	3243
215	3783	3223
216	3798	3203
217	3812	3182
218	3826	3162
219	3841	3143
220	3857	3124
221	3874	3106
222	3888	3086
223	3904	3068
224	3920	3049
225	3936	3030
226	3953	3013
227	3969	2994
228	3985	2976
229	4003	2959
230	4023	2943
231	4044	2928
232	4061	2911
233	4079	2894
234	4098	2877
235	4117	2861
236	4137	2845
237	4155	2828
238	4173	2811
239	4190	2793
240	4209	2777
241	4228	2760
242	4244	2742
243	4259	2723
244	4274	2704
245	4288	2684
246	4302	2665
247	4317	2646
248	4332	2627
249	4347	2608
250	4362	2589
251	4378	2571
252	4394	2553
253	4409	2534
254	4424	2515
255	4439	2496
256	4453	2478
257	4468	2459
258	4484	2441
259	4500	2423
260	4518	2406
261	4532	2387
262	4548	2369
263	4564	2351
264	4579	2333
265	4595	2315
266	4614	2298
267	4634	2282
268	4664	2271
269	4698	2262
270	4729	2251
271	4762	2240
272	4796	2231
273	4825	2218
274	4852	2205
275	4880	2192
276	4926	2187
277	4956	2175
278	4984	2161
279	5018	2150
280	5051	2139
281	5086	2128
282	5112	2113
283	5136	2098
284	5163	2083
285	5190	2068
286	5216	2054
287	5243	2039
288	5268	2023
289	5294	2008
290	5318	1992
291	5340	1975
292	5360	1957
293	5378	1939
294	5397	1921
295	5419	1904
296	5439	1886
297	5459	1868
298	5481	1851
299	5498	1832
300	5518	1814
301	5534	1795
302	5550	1776
303	5567	1758
304	5586	1739
305	5612	1724
306	5631	1705
307	5646	1686
308	5675	1671
309	5700	1654
310	5715	1635
311	5745	1620
312	5780	1606
313	5804	1589
314	5821	1570
315	5838	1552
316	5856	1533
317	5873	1514
318	5891	1495
319	5908	1477
320	5925	1458
321	5941	1439
322	5958	1420
323	5975	1401
324	5992	1382
325	6009	1364
326	6026	1345
327	6044	1326
328	6064	1308
329	6081	1290
330	6099	1271
331	6116	1252
332	6133	1234
333	6151	1215
334	6168	1196
335	6185	1178
336	6202	1159
337	6220	1140
338	6237	1122
339	6254	1103
340	6271	1085
341	6287	1066
342	6305	1047
343	6323	1029
344	6341	1010
345	6358	992
346	6375	973
347	6392	955
348	6409	936
349	6427	918
350	6444	899
351	6461	881
352	6478	862
353	6495	844
354	6514	825
355	6534	807
356	6552	789
357	6570	770
358	6588	752
359	6605	733
360	6625	715
361	6655	698
362	6674	680
363	6690	661
364	6708	643
365	6727	624
366	6744	606
367	6763	588
368	6780	569
369	6798	551
370	6815	532
371	6834	514
372	6852	496
373	6870	477
374	6889	459
375	6907	440
376	6924	422
377	6942	404
378	6960	385
379	6978	367
380	6997	348
381	7015	330
382	7033	312
383	7053	293
384	7070	275
385	7089	257
386	7107	238
387	7125	220
388	7145	202
389	7164	183
390	7184	165
391	7202	146
392	7223	128
393	7242	110
394	7257	91
395	7275	73
396	7291	55
397	7308	36
398	7324	18
399	7339	0
